successful : 5/ 200 | Time taken: 414.37 seconds 
successful : 45/ 200 | Time taken: 402.80 seconds 
successful : 44/ 200 | Time taken: 402.86 seconds 
successful : 43/ 200 | Time taken: 400.49 seconds 
successful : 42/ 200 | Time taken: 402.92 seconds 
successful : 41/ 200 | Time taken: 404.85 seconds 
successful : 40/ 200 | Time taken: 399.64 seconds 
successful : 120/ 200 | Time taken: 405.58 seconds 
successful : 119/ 200 | Time taken: 402.34 seconds 
successful : 118/ 200 | Time taken: 401.41 seconds 
successful : 158/ 200 | Time taken: 403.73 seconds 
successful : 157/ 200 | Time taken: 399.79 seconds 
successful : 184/ 200 | Time taken: 402.48 seconds 
successful : 199/ 200 | Time taken: 402.01 seconds 
