successful : 12/ 200 | Time taken: 467.20 seconds 
successful : 87/ 200 | Time taken: 470.76 seconds 
successful : 86/ 200 | Time taken: 469.31 seconds 
successful : 85/ 200 | Time taken: 466.05 seconds 
successful : 84/ 200 | Time taken: 472.62 seconds 
successful : 83/ 200 | Time taken: 463.75 seconds 
successful : 82/ 200 | Time taken: 464.21 seconds 
successful : 141/ 200 | Time taken: 475.68 seconds 
successful : 140/ 200 | Time taken: 480.61 seconds 
successful : 139/ 200 | Time taken: 483.87 seconds 
successful : 176/ 200 | Time taken: 476.50 seconds 
successful : 175/ 200 | Time taken: 457.94 seconds 
successful : 193/ 200 | Time taken: 391.04 seconds 
