successful : 3/ 200 | Time taken: 472.39 seconds 
successful : 33/ 200 | Time taken: 474.55 seconds 
successful : 32/ 200 | Time taken: 468.94 seconds 
successful : 31/ 200 | Time taken: 471.38 seconds 
successful : 30/ 200 | Time taken: 473.08 seconds 
successful : 29/ 200 | Time taken: 468.35 seconds 
successful : 28/ 200 | Time taken: 470.56 seconds 
successful : 147/ 200 | Time taken: 471.79 seconds 
successful : 146/ 200 | Time taken: 476.11 seconds 
successful : 145/ 200 | Time taken: 476.65 seconds 
successful : 178/ 200 | Time taken: 467.83 seconds 
successful : 177/ 200 | Time taken: 460.95 seconds 
successful : 194/ 200 | Time taken: 410.06 seconds 
