successful : 6/ 200 | Time taken: 518.70 seconds 
successful : 51/ 200 | Time taken: 531.12 seconds 
successful : 50/ 200 | Time taken: 526.47 seconds 
successful : 49/ 200 | Time taken: 524.96 seconds 
successful : 48/ 200 | Time taken: 526.54 seconds 
successful : 47/ 200 | Time taken: 526.60 seconds 
successful : 46/ 200 | Time taken: 527.62 seconds 
successful : 108/ 200 | Time taken: 523.41 seconds 
successful : 107/ 200 | Time taken: 527.29 seconds 
successful : 106/ 200 | Time taken: 524.47 seconds 
successful : 156/ 200 | Time taken: 523.50 seconds 
successful : 155/ 200 | Time taken: 526.71 seconds 
successful : 183/ 200 | Time taken: 519.78 seconds 
successful : 198/ 200 | Time taken: 516.41 seconds 
