successful : 5/ 200 | Time taken: 598.25 seconds 
successful : 45/ 200 | Time taken: 594.75 seconds 
successful : 44/ 200 | Time taken: 593.47 seconds 
successful : 43/ 200 | Time taken: 591.96 seconds 
successful : 42/ 200 | Time taken: 590.47 seconds 
successful : 41/ 200 | Time taken: 597.93 seconds 
successful : 40/ 200 | Time taken: 591.82 seconds 
successful : 141/ 200 | Time taken: 592.21 seconds 
successful : 140/ 200 | Time taken: 597.76 seconds 
successful : 139/ 200 | Time taken: 594.81 seconds 
successful : 178/ 200 | Time taken: 601.36 seconds 
successful : 177/ 200 | Time taken: 596.45 seconds 
successful : 194/ 200 | Time taken: 550.93 seconds 
