successful : 8/ 200 | Time taken: 600.70 seconds 
successful : 63/ 200 | Time taken: 592.98 seconds 
successful : 62/ 200 | Time taken: 593.64 seconds 
successful : 61/ 200 | Time taken: 587.82 seconds 
successful : 60/ 200 | Time taken: 590.81 seconds 
successful : 59/ 200 | Time taken: 613.04 seconds 
successful : 58/ 200 | Time taken: 594.37 seconds 
successful : 147/ 200 | Time taken: 591.83 seconds 
successful : 146/ 200 | Time taken: 603.64 seconds 
successful : 145/ 200 | Time taken: 590.93 seconds 
successful : 180/ 200 | Time taken: 588.44 seconds 
successful : 179/ 200 | Time taken: 593.56 seconds 
successful : 195/ 200 | Time taken: 558.90 seconds 
