successful : 10/ 200 | Time taken: 533.91 seconds 
successful : 75/ 200 | Time taken: 524.03 seconds 
successful : 74/ 200 | Time taken: 516.92 seconds 
successful : 73/ 200 | Time taken: 532.09 seconds 
successful : 72/ 200 | Time taken: 527.18 seconds 
successful : 71/ 200 | Time taken: 527.48 seconds 
successful : 70/ 200 | Time taken: 530.95 seconds 
successful : 120/ 200 | Time taken: 530.91 seconds 
successful : 119/ 200 | Time taken: 531.29 seconds 
successful : 118/ 200 | Time taken: 527.50 seconds 
successful : 158/ 200 | Time taken: 528.40 seconds 
successful : 157/ 200 | Time taken: 527.56 seconds 
successful : 185/ 200 | Time taken: 530.41 seconds 
successful : 200/ 200 | Time taken: 527.51 seconds 
