successful : 14/ 200 | Time taken: 598.06 seconds 
successful : 99/ 200 | Time taken: 581.86 seconds 
successful : 98/ 200 | Time taken: 593.08 seconds 
successful : 97/ 200 | Time taken: 596.30 seconds 
successful : 96/ 200 | Time taken: 592.19 seconds 
successful : 95/ 200 | Time taken: 588.78 seconds 
successful : 94/ 200 | Time taken: 581.19 seconds 
successful : 138/ 200 | Time taken: 583.89 seconds 
successful : 137/ 200 | Time taken: 583.84 seconds 
successful : 136/ 200 | Time taken: 583.49 seconds 
successful : 176/ 200 | Time taken: 578.98 seconds 
successful : 175/ 200 | Time taken: 590.07 seconds 
successful : 191/ 200 | Time taken: 563.58 seconds 
