successful : 13/ 200 | Time taken: 27.10 seconds 
successful : 93/ 200 | Time taken: 22.03 seconds 
successful : 92/ 200 | Time taken: 21.84 seconds 
successful : 91/ 200 | Time taken: 21.71 seconds 
successful : 90/ 200 | Time taken: 19.64 seconds 
successful : 89/ 200 | Time taken: 18.98 seconds 
successful : 88/ 200 | Time taken: 18.46 seconds 
successful : 138/ 200 | Time taken: 17.83 seconds 
successful : 137/ 200 | Time taken: 17.93 seconds 
successful : 136/ 200 | Time taken: 18.15 seconds 
successful : 170/ 200 | Time taken: 18.49 seconds 
successful : 169/ 200 | Time taken: 18.28 seconds 
successful : 190/ 200 | Time taken: 16.84 seconds 
