successful : 6/ 200 | Time taken: 118.87 seconds 
successful : 51/ 200 | Time taken: 109.41 seconds 
successful : 50/ 200 | Time taken: 109.56 seconds 
successful : 49/ 200 | Time taken: 108.89 seconds 
successful : 48/ 200 | Time taken: 109.26 seconds 
successful : 47/ 200 | Time taken: 110.52 seconds 
successful : 46/ 200 | Time taken: 109.22 seconds 
successful : 150/ 200 | Time taken: 108.64 seconds 
successful : 149/ 200 | Time taken: 108.92 seconds 
successful : 148/ 200 | Time taken: 106.64 seconds 
successful : 180/ 200 | Time taken: 106.22 seconds 
successful : 179/ 200 | Time taken: 105.50 seconds 
successful : 198/ 200 | Time taken: 92.51 seconds 
