successful : 5/ 200 | Time taken: 114.38 seconds 
successful : 45/ 200 | Time taken: 100.88 seconds 
successful : 44/ 200 | Time taken: 102.33 seconds 
successful : 43/ 200 | Time taken: 104.54 seconds 
successful : 42/ 200 | Time taken: 102.84 seconds 
successful : 41/ 200 | Time taken: 101.06 seconds 
successful : 40/ 200 | Time taken: 101.46 seconds 
successful : 126/ 200 | Time taken: 99.74 seconds 
successful : 125/ 200 | Time taken: 100.60 seconds 
successful : 124/ 200 | Time taken: 99.59 seconds 
successful : 166/ 200 | Time taken: 99.81 seconds 
successful : 165/ 200 | Time taken: 103.41 seconds 
successful : 187/ 200 | Time taken: 92.85 seconds 
