successful : 12/ 200 | Time taken: 115.06 seconds 
successful : 87/ 200 | Time taken: 107.23 seconds 
successful : 86/ 200 | Time taken: 101.65 seconds 
successful : 85/ 200 | Time taken: 103.77 seconds 
successful : 84/ 200 | Time taken: 101.59 seconds 
successful : 83/ 200 | Time taken: 101.46 seconds 
successful : 82/ 200 | Time taken: 102.58 seconds 
successful : 129/ 200 | Time taken: 106.03 seconds 
successful : 128/ 200 | Time taken: 106.06 seconds 
successful : 127/ 200 | Time taken: 112.02 seconds 
successful : 168/ 200 | Time taken: 107.97 seconds 
successful : 167/ 200 | Time taken: 111.35 seconds 
successful : 192/ 200 | Time taken: 83.52 seconds 
