successful : 2/ 200 | Time taken: 116.12 seconds 
successful : 27/ 200 | Time taken: 106.92 seconds 
successful : 26/ 200 | Time taken: 110.57 seconds 
successful : 25/ 200 | Time taken: 103.32 seconds 
successful : 24/ 200 | Time taken: 102.78 seconds 
successful : 23/ 200 | Time taken: 106.75 seconds 
successful : 22/ 200 | Time taken: 103.81 seconds 
successful : 135/ 200 | Time taken: 106.13 seconds 
successful : 134/ 200 | Time taken: 105.27 seconds 
successful : 133/ 200 | Time taken: 106.86 seconds 
successful : 176/ 200 | Time taken: 104.58 seconds 
successful : 175/ 200 | Time taken: 103.70 seconds 
successful : 193/ 200 | Time taken: 87.00 seconds 
