successful : 11/ 200 | Time taken: 15.11 seconds 
successful : 81/ 200 | Time taken: 13.28 seconds 
successful : 80/ 200 | Time taken: 13.05 seconds 
successful : 79/ 200 | Time taken: 13.21 seconds 
successful : 78/ 200 | Time taken: 13.39 seconds 
successful : 77/ 200 | Time taken: 13.09 seconds 
successful : 76/ 200 | Time taken: 13.19 seconds 
successful : 132/ 200 | Time taken: 13.00 seconds 
successful : 131/ 200 | Time taken: 12.83 seconds 
successful : 130/ 200 | Time taken: 12.78 seconds 
successful : 166/ 200 | Time taken: 12.85 seconds 
successful : 165/ 200 | Time taken: 12.74 seconds 
successful : 188/ 200 | Time taken: 12.09 seconds 
