successful : 8/ 200 | Time taken: 74.27 seconds 
successful : 63/ 200 | Time taken: 73.97 seconds 
successful : 62/ 200 | Time taken: 72.75 seconds 
successful : 61/ 200 | Time taken: 72.90 seconds 
successful : 60/ 200 | Time taken: 73.87 seconds 
successful : 59/ 200 | Time taken: 73.78 seconds 
successful : 58/ 200 | Time taken: 74.71 seconds 
successful : 150/ 200 | Time taken: 73.39 seconds 
successful : 149/ 200 | Time taken: 73.38 seconds 
successful : 148/ 200 | Time taken: 73.36 seconds 
successful : 180/ 200 | Time taken: 73.25 seconds 
successful : 179/ 200 | Time taken: 73.88 seconds 
successful : 195/ 200 | Time taken: 66.77 seconds 
