successful : 14/ 200 | Time taken: 73.77 seconds 
successful : 99/ 200 | Time taken: 71.62 seconds 
successful : 98/ 200 | Time taken: 71.13 seconds 
successful : 97/ 200 | Time taken: 71.01 seconds 
successful : 96/ 200 | Time taken: 70.56 seconds 
successful : 95/ 200 | Time taken: 70.11 seconds 
successful : 94/ 200 | Time taken: 70.35 seconds 
successful : 147/ 200 | Time taken: 70.41 seconds 
successful : 146/ 200 | Time taken: 70.27 seconds 
successful : 145/ 200 | Time taken: 71.15 seconds 
successful : 174/ 200 | Time taken: 70.44 seconds 
successful : 173/ 200 | Time taken: 70.63 seconds 
successful : 192/ 200 | Time taken: 67.26 seconds 
