successful : 7/ 200 | Time taken: 72.76 seconds 
successful : 57/ 200 | Time taken: 70.75 seconds 
successful : 56/ 200 | Time taken: 70.50 seconds 
successful : 55/ 200 | Time taken: 69.88 seconds 
successful : 54/ 200 | Time taken: 70.24 seconds 
successful : 53/ 200 | Time taken: 69.91 seconds 
successful : 52/ 200 | Time taken: 70.84 seconds 
successful : 144/ 200 | Time taken: 70.97 seconds 
successful : 143/ 200 | Time taken: 70.62 seconds 
successful : 142/ 200 | Time taken: 70.65 seconds 
successful : 168/ 200 | Time taken: 70.43 seconds 
successful : 167/ 200 | Time taken: 70.57 seconds 
successful : 191/ 200 | Time taken: 68.17 seconds 
