successful : 15/ 200 | Time taken: 68.50 seconds 
successful : 105/ 200 | Time taken: 66.05 seconds 
successful : 104/ 200 | Time taken: 66.15 seconds 
successful : 103/ 200 | Time taken: 66.95 seconds 
successful : 102/ 200 | Time taken: 65.79 seconds 
successful : 101/ 200 | Time taken: 66.31 seconds 
successful : 100/ 200 | Time taken: 66.45 seconds 
successful : 120/ 200 | Time taken: 65.60 seconds 
successful : 119/ 200 | Time taken: 66.56 seconds 
successful : 118/ 200 | Time taken: 66.10 seconds 
successful : 160/ 200 | Time taken: 67.30 seconds 
successful : 159/ 200 | Time taken: 66.07 seconds 
successful : 185/ 200 | Time taken: 66.73 seconds 
successful : 200/ 200 | Time taken: 65.18 seconds 
