successful : 5/ 200 | Time taken: 21.21 seconds 
successful : 45/ 200 | Time taken: 18.54 seconds 
successful : 44/ 200 | Time taken: 18.34 seconds 
successful : 43/ 200 | Time taken: 18.83 seconds 
successful : 42/ 200 | Time taken: 18.71 seconds 
successful : 41/ 200 | Time taken: 18.55 seconds 
successful : 40/ 200 | Time taken: 18.65 seconds 
successful : 126/ 200 | Time taken: 18.64 seconds 
successful : 125/ 200 | Time taken: 18.57 seconds 
successful : 124/ 200 | Time taken: 18.34 seconds 
successful : 170/ 200 | Time taken: 19.62 seconds 
successful : 169/ 200 | Time taken: 18.80 seconds 
successful : 190/ 200 | Time taken: 18.10 seconds 
