successful : 11/ 200 | Time taken: 21.53 seconds 
successful : 81/ 200 | Time taken: 18.73 seconds 
successful : 80/ 200 | Time taken: 18.75 seconds 
successful : 79/ 200 | Time taken: 18.67 seconds 
successful : 78/ 200 | Time taken: 18.65 seconds 
successful : 77/ 200 | Time taken: 18.56 seconds 
successful : 76/ 200 | Time taken: 18.49 seconds 
successful : 141/ 200 | Time taken: 18.44 seconds 
successful : 140/ 200 | Time taken: 18.49 seconds 
successful : 139/ 200 | Time taken: 18.40 seconds 
successful : 174/ 200 | Time taken: 18.52 seconds 
successful : 173/ 200 | Time taken: 18.59 seconds 
successful : 192/ 200 | Time taken: 18.34 seconds 
