successful : 7/ 200 | Time taken: 21.12 seconds 
successful : 57/ 200 | Time taken: 18.34 seconds 
successful : 56/ 200 | Time taken: 17.84 seconds 
successful : 55/ 200 | Time taken: 17.89 seconds 
successful : 54/ 200 | Time taken: 17.84 seconds 
successful : 53/ 200 | Time taken: 17.93 seconds 
successful : 52/ 200 | Time taken: 17.96 seconds 
successful : 120/ 200 | Time taken: 17.91 seconds 
successful : 119/ 200 | Time taken: 17.87 seconds 
successful : 118/ 200 | Time taken: 17.93 seconds 
successful : 156/ 200 | Time taken: 17.93 seconds 
successful : 155/ 200 | Time taken: 17.75 seconds 
successful : 182/ 200 | Time taken: 17.94 seconds 
successful : 197/ 200 | Time taken: 16.69 seconds 
