successful : 14/ 200 | Time taken: 20.90 seconds 
successful : 99/ 200 | Time taken: 18.28 seconds 
successful : 98/ 200 | Time taken: 17.95 seconds 
successful : 97/ 200 | Time taken: 17.96 seconds 
successful : 96/ 200 | Time taken: 18.12 seconds 
successful : 95/ 200 | Time taken: 18.08 seconds 
successful : 94/ 200 | Time taken: 17.92 seconds 
successful : 114/ 200 | Time taken: 17.90 seconds 
successful : 113/ 200 | Time taken: 17.91 seconds 
successful : 112/ 200 | Time taken: 17.99 seconds 
successful : 158/ 200 | Time taken: 17.97 seconds 
successful : 157/ 200 | Time taken: 17.82 seconds 
successful : 183/ 200 | Time taken: 17.97 seconds 
successful : 198/ 200 | Time taken: 16.73 seconds 
