successful : 10/ 200 | Time taken: 1071.64 seconds 
successful : 75/ 200 | Time taken: 946.60 seconds 
successful : 74/ 200 | Time taken: 870.84 seconds 
successful : 73/ 200 | Time taken: 930.27 seconds 
successful : 72/ 200 | Time taken: 943.49 seconds 
successful : 71/ 200 | Time taken: 940.86 seconds 
successful : 70/ 200 | Time taken: 948.63 seconds 
successful : 123/ 200 | Time taken: 924.54 seconds 
successful : 122/ 200 | Time taken: 894.29 seconds 
successful : 121/ 200 | Time taken: 889.10 seconds 
successful : 162/ 200 | Time taken: 924.98 seconds 
successful : 161/ 200 | Time taken: 861.82 seconds 
successful : 186/ 200 | Time taken: 844.06 seconds 
successful : 199/ 200 | Time taken: 765.07 seconds 
