successful : 4/ 200 | Time taken: 1077.91 seconds 
successful : 39/ 200 | Time taken: 941.70 seconds 
successful : 38/ 200 | Time taken: 952.46 seconds 
successful : 37/ 200 | Time taken: 927.95 seconds 
successful : 36/ 200 | Time taken: 961.62 seconds 
successful : 35/ 200 | Time taken: 952.86 seconds 
successful : 34/ 200 | Time taken: 950.47 seconds 
successful : 126/ 200 | Time taken: 951.86 seconds 
successful : 125/ 200 | Time taken: 951.05 seconds 
successful : 124/ 200 | Time taken: 943.35 seconds 
successful : 172/ 200 | Time taken: 904.24 seconds 
successful : 171/ 200 | Time taken: 885.06 seconds 
successful : 191/ 200 | Time taken: 882.34 seconds 
