successful : 12/ 200 | Time taken: 63.63 seconds 
successful : 87/ 200 | Time taken: 60.53 seconds 
successful : 86/ 200 | Time taken: 60.02 seconds 
successful : 85/ 200 | Time taken: 60.07 seconds 
successful : 84/ 200 | Time taken: 60.35 seconds 
successful : 83/ 200 | Time taken: 59.42 seconds 
successful : 82/ 200 | Time taken: 59.97 seconds 
successful : 117/ 200 | Time taken: 59.74 seconds 
successful : 116/ 200 | Time taken: 60.39 seconds 
successful : 115/ 200 | Time taken: 60.96 seconds 
successful : 154/ 200 | Time taken: 61.68 seconds 
successful : 153/ 200 | Time taken: 60.87 seconds 
successful : 183/ 200 | Time taken: 62.20 seconds 
successful : 198/ 200 | Time taken: 59.57 seconds 
