successful : 10/ 200 | Time taken: 63.84 seconds 
successful : 75/ 200 | Time taken: 62.46 seconds 
successful : 74/ 200 | Time taken: 61.33 seconds 
successful : 73/ 200 | Time taken: 60.82 seconds 
successful : 72/ 200 | Time taken: 60.99 seconds 
successful : 71/ 200 | Time taken: 61.38 seconds 
successful : 70/ 200 | Time taken: 61.92 seconds 
successful : 120/ 200 | Time taken: 61.90 seconds 
successful : 119/ 200 | Time taken: 61.53 seconds 
successful : 118/ 200 | Time taken: 62.09 seconds 
successful : 160/ 200 | Time taken: 61.77 seconds 
successful : 159/ 200 | Time taken: 62.23 seconds 
successful : 185/ 200 | Time taken: 62.40 seconds 
successful : 200/ 200 | Time taken: 60.23 seconds 
