successful : 5/ 200 | Time taken: 62.97 seconds 
successful : 45/ 200 | Time taken: 61.29 seconds 
successful : 44/ 200 | Time taken: 60.61 seconds 
successful : 43/ 200 | Time taken: 60.32 seconds 
successful : 42/ 200 | Time taken: 60.51 seconds 
successful : 41/ 200 | Time taken: 60.79 seconds 
successful : 40/ 200 | Time taken: 60.74 seconds 
successful : 114/ 200 | Time taken: 59.83 seconds 
successful : 113/ 200 | Time taken: 61.05 seconds 
successful : 112/ 200 | Time taken: 60.15 seconds 
successful : 158/ 200 | Time taken: 60.48 seconds 
successful : 157/ 200 | Time taken: 60.64 seconds 
successful : 184/ 200 | Time taken: 61.67 seconds 
successful : 199/ 200 | Time taken: 60.33 seconds 
