successful : 2/ 200 | Time taken: 74.41 seconds 
successful : 27/ 200 | Time taken: 74.75 seconds 
successful : 26/ 200 | Time taken: 74.21 seconds 
successful : 25/ 200 | Time taken: 74.04 seconds 
successful : 24/ 200 | Time taken: 75.02 seconds 
successful : 23/ 200 | Time taken: 74.70 seconds 
successful : 22/ 200 | Time taken: 74.44 seconds 
successful : 147/ 200 | Time taken: 74.30 seconds 
successful : 146/ 200 | Time taken: 73.15 seconds 
successful : 145/ 200 | Time taken: 72.24 seconds 
successful : 180/ 200 | Time taken: 74.22 seconds 
successful : 179/ 200 | Time taken: 73.07 seconds 
successful : 195/ 200 | Time taken: 62.81 seconds 
