successful : 10/ 200 | Time taken: 74.89 seconds 
successful : 75/ 200 | Time taken: 74.25 seconds 
successful : 74/ 200 | Time taken: 72.91 seconds 
successful : 73/ 200 | Time taken: 73.27 seconds 
successful : 72/ 200 | Time taken: 72.72 seconds 
successful : 71/ 200 | Time taken: 73.20 seconds 
successful : 70/ 200 | Time taken: 72.47 seconds 
successful : 150/ 200 | Time taken: 73.35 seconds 
successful : 149/ 200 | Time taken: 73.01 seconds 
successful : 148/ 200 | Time taken: 71.82 seconds 
successful : 178/ 200 | Time taken: 72.39 seconds 
successful : 177/ 200 | Time taken: 72.23 seconds 
successful : 194/ 200 | Time taken: 66.19 seconds 
