successful : 2/ 200 | Time taken: 934.24 seconds 
successful : 27/ 200 | Time taken: 970.90 seconds 
successful : 26/ 200 | Time taken: 1032.58 seconds 
successful : 25/ 200 | Time taken: 1036.38 seconds 
successful : 24/ 200 | Time taken: 1030.77 seconds 
successful : 23/ 200 | Time taken: 1031.01 seconds 
successful : 22/ 200 | Time taken: 1050.76 seconds 
successful : 126/ 200 | Time taken: 1042.25 seconds 
successful : 125/ 200 | Time taken: 1055.66 seconds 
successful : 124/ 200 | Time taken: 1054.08 seconds 
successful : 156/ 200 | Time taken: 1053.46 seconds 
successful : 155/ 200 | Time taken: 1053.57 seconds 
successful : 182/ 200 | Time taken: 995.60 seconds 
successful : 198/ 200 | Time taken: 739.72 seconds 
