successful : 6/ 200 | Time taken: 936.32 seconds 
successful : 51/ 200 | Time taken: 1013.93 seconds 
successful : 50/ 200 | Time taken: 1164.86 seconds 
successful : 49/ 200 | Time taken: 1051.70 seconds 
successful : 48/ 200 | Time taken: 1054.82 seconds 
successful : 47/ 200 | Time taken: 1056.80 seconds 
successful : 46/ 200 | Time taken: 1202.64 seconds 
successful : 129/ 200 | Time taken: 1104.01 seconds 
successful : 128/ 200 | Time taken: 1149.20 seconds 
successful : 127/ 200 | Time taken: 1043.65 seconds 
successful : 178/ 200 | Time taken: 1082.59 seconds 
successful : 177/ 200 | Time taken: 1264.53 seconds 
successful : 195/ 200 | Time taken: 838.25 seconds 
