successful : 1/ 200 | Time taken: 944.48 seconds 
successful : 21/ 200 | Time taken: 1004.48 seconds 
successful : 20/ 200 | Time taken: 1054.78 seconds 
successful : 19/ 200 | Time taken: 1062.75 seconds 
successful : 18/ 200 | Time taken: 1055.21 seconds 
successful : 17/ 200 | Time taken: 1059.87 seconds 
successful : 16/ 200 | Time taken: 1062.59 seconds 
successful : 141/ 200 | Time taken: 1058.19 seconds 
successful : 140/ 200 | Time taken: 1078.01 seconds 
successful : 139/ 200 | Time taken: 1076.13 seconds 
successful : 170/ 200 | Time taken: 1093.82 seconds 
successful : 169/ 200 | Time taken: 1075.38 seconds 
successful : 191/ 200 | Time taken: 995.69 seconds 
