successful : 3/ 200 | Time taken: 1144.50 seconds 
successful : 33/ 200 | Time taken: 1151.80 seconds 
successful : 32/ 200 | Time taken: 1044.22 seconds 
successful : 31/ 200 | Time taken: 1049.33 seconds 
successful : 30/ 200 | Time taken: 1048.51 seconds 
successful : 29/ 200 | Time taken: 1047.85 seconds 
successful : 28/ 200 | Time taken: 1045.49 seconds 
successful : 150/ 200 | Time taken: 1061.20 seconds 
successful : 149/ 200 | Time taken: 1056.97 seconds 
successful : 148/ 200 | Time taken: 1056.66 seconds 
successful : 180/ 200 | Time taken: 1056.88 seconds 
successful : 179/ 200 | Time taken: 1050.47 seconds 
successful : 194/ 200 | Time taken: 942.96 seconds 
