successful : 3/ 200 | Time taken: 20.87 seconds 
successful : 33/ 200 | Time taken: 18.31 seconds 
successful : 32/ 200 | Time taken: 18.11 seconds 
successful : 31/ 200 | Time taken: 17.94 seconds 
successful : 30/ 200 | Time taken: 17.88 seconds 
successful : 29/ 200 | Time taken: 18.11 seconds 
successful : 28/ 200 | Time taken: 17.93 seconds 
successful : 117/ 200 | Time taken: 17.84 seconds 
successful : 116/ 200 | Time taken: 17.85 seconds 
successful : 115/ 200 | Time taken: 17.91 seconds 
successful : 158/ 200 | Time taken: 17.83 seconds 
successful : 157/ 200 | Time taken: 18.10 seconds 
successful : 182/ 200 | Time taken: 17.81 seconds 
successful : 197/ 200 | Time taken: 16.66 seconds 
