successful : 1/ 200 | Time taken: 15.62 seconds 
successful : 21/ 200 | Time taken: 10.73 seconds 
successful : 20/ 200 | Time taken: 11.03 seconds 
successful : 19/ 200 | Time taken: 11.37 seconds 
successful : 18/ 200 | Time taken: 10.53 seconds 
successful : 17/ 200 | Time taken: 9.18 seconds 
successful : 16/ 200 | Time taken: 9.27 seconds 
successful : 138/ 200 | Time taken: 9.47 seconds 
successful : 137/ 200 | Time taken: 9.71 seconds 
successful : 136/ 200 | Time taken: 10.01 seconds 
successful : 174/ 200 | Time taken: 10.16 seconds 
successful : 173/ 200 | Time taken: 9.21 seconds 
successful : 199/ 200 | Time taken: 7.57 seconds 
