successful : 2/ 200 | Time taken: 11.98 seconds 
successful : 27/ 200 | Time taken: 7.75 seconds 
successful : 26/ 200 | Time taken: 7.54 seconds 
successful : 25/ 200 | Time taken: 7.54 seconds 
successful : 24/ 200 | Time taken: 7.54 seconds 
successful : 23/ 200 | Time taken: 7.66 seconds 
successful : 22/ 200 | Time taken: 7.49 seconds 
successful : 111/ 200 | Time taken: 7.48 seconds 
successful : 110/ 200 | Time taken: 7.55 seconds 
successful : 109/ 200 | Time taken: 7.53 seconds 
successful : 152/ 200 | Time taken: 7.80 seconds 
successful : 151/ 200 | Time taken: 7.69 seconds 
successful : 180/ 200 | Time taken: 7.56 seconds 
successful : 179/ 200 | Time taken: 7.92 seconds 
successful : 186/ 200 | Time taken: 7.54 seconds 
