successful : 5/ 200 | Time taken: 764.77 seconds 
successful : 5/ 200 | Time taken: 929.35 seconds 
successful : 45/ 200 | Time taken: 757.48 seconds 
successful : 45/ 200 | Time taken: 868.60 seconds 
successful : 44/ 200 | Time taken: 721.86 seconds 
successful : 44/ 200 | Time taken: 884.98 seconds 
successful : 43/ 200 | Time taken: 745.01 seconds 
successful : 43/ 200 | Time taken: 949.95 seconds 
successful : 42/ 200 | Time taken: 886.01 seconds 
successful : 42/ 200 | Time taken: 953.77 seconds 
successful : 41/ 200 | Time taken: 759.34 seconds 
successful : 40/ 200 | Time taken: 775.20 seconds 
successful : 41/ 200 | Time taken: 947.25 seconds 
successful : 114/ 200 | Time taken: 741.05 seconds 
successful : 40/ 200 | Time taken: 944.27 seconds 
successful : 113/ 200 | Time taken: 717.64 seconds 
successful : 150/ 200 | Time taken: 931.68 seconds 
successful : 112/ 200 | Time taken: 753.03 seconds 
successful : 149/ 200 | Time taken: 851.23 seconds 
successful : 156/ 200 | Time taken: 754.03 seconds 
successful : 155/ 200 | Time taken: 756.82 seconds 
successful : 148/ 200 | Time taken: 943.05 seconds 
successful : 183/ 200 | Time taken: 753.23 seconds 
successful : 178/ 200 | Time taken: 944.30 seconds 
successful : 191/ 200 | Time taken: 754.13 seconds 
successful : 177/ 200 | Time taken: 781.29 seconds 
