successful : 9/ 200 | Time taken: 585.63 seconds 
successful : 69/ 200 | Time taken: 589.45 seconds 
successful : 68/ 200 | Time taken: 559.01 seconds 
successful : 67/ 200 | Time taken: 565.17 seconds 
successful : 66/ 200 | Time taken: 566.54 seconds 
successful : 65/ 200 | Time taken: 542.06 seconds 
successful : 64/ 200 | Time taken: 554.94 seconds 
successful : 123/ 200 | Time taken: 540.76 seconds 
successful : 122/ 200 | Time taken: 530.75 seconds 
successful : 121/ 200 | Time taken: 548.89 seconds 
successful : 158/ 200 | Time taken: 542.82 seconds 
successful : 157/ 200 | Time taken: 555.43 seconds 
successful : 183/ 200 | Time taken: 579.03 seconds 
successful : 198/ 200 | Time taken: 526.48 seconds 
