successful : 2/ 200 | Time taken: 622.42 seconds 
successful : 27/ 200 | Time taken: 610.89 seconds 
successful : 26/ 200 | Time taken: 605.62 seconds 
successful : 25/ 200 | Time taken: 605.93 seconds 
successful : 24/ 200 | Time taken: 604.30 seconds 
successful : 23/ 200 | Time taken: 619.71 seconds 
successful : 22/ 200 | Time taken: 603.20 seconds 
successful : 147/ 200 | Time taken: 603.83 seconds 
successful : 146/ 200 | Time taken: 611.94 seconds 
successful : 145/ 200 | Time taken: 615.74 seconds 
successful : 180/ 200 | Time taken: 614.71 seconds 
successful : 179/ 200 | Time taken: 606.24 seconds 
successful : 195/ 200 | Time taken: 563.54 seconds 
