successful : 3/ 200 | Time taken: 568.21 seconds 
successful : 33/ 200 | Time taken: 610.95 seconds 
successful : 32/ 200 | Time taken: 550.92 seconds 
successful : 31/ 200 | Time taken: 558.94 seconds 
successful : 30/ 200 | Time taken: 543.78 seconds 
successful : 29/ 200 | Time taken: 546.92 seconds 
successful : 28/ 200 | Time taken: 550.99 seconds 
successful : 117/ 200 | Time taken: 547.57 seconds 
successful : 116/ 200 | Time taken: 567.69 seconds 
successful : 115/ 200 | Time taken: 557.60 seconds 
successful : 156/ 200 | Time taken: 576.50 seconds 
successful : 155/ 200 | Time taken: 570.21 seconds 
successful : 184/ 200 | Time taken: 548.04 seconds 
successful : 199/ 200 | Time taken: 551.84 seconds 
