successful : 12/ 200 | Time taken: 14.35 seconds 
successful : 87/ 200 | Time taken: 9.82 seconds 
successful : 86/ 200 | Time taken: 7.77 seconds 
successful : 85/ 200 | Time taken: 8.03 seconds 
successful : 84/ 200 | Time taken: 8.19 seconds 
successful : 83/ 200 | Time taken: 7.62 seconds 
successful : 82/ 200 | Time taken: 8.02 seconds 
successful : 129/ 200 | Time taken: 8.31 seconds 
successful : 128/ 200 | Time taken: 7.64 seconds 
successful : 127/ 200 | Time taken: 7.67 seconds 
successful : 160/ 200 | Time taken: 7.92 seconds 
successful : 159/ 200 | Time taken: 7.92 seconds 
successful : 185/ 200 | Time taken: 8.08 seconds 
successful : 200/ 200 | Time taken: 7.62 seconds 
