successful : 11/ 200 | Time taken: 15.45 seconds 
successful : 81/ 200 | Time taken: 10.49 seconds 
successful : 80/ 200 | Time taken: 9.70 seconds 
successful : 79/ 200 | Time taken: 9.75 seconds 
successful : 78/ 200 | Time taken: 10.01 seconds 
successful : 77/ 200 | Time taken: 10.03 seconds 
successful : 76/ 200 | Time taken: 9.49 seconds 
successful : 144/ 200 | Time taken: 8.88 seconds 
successful : 143/ 200 | Time taken: 8.86 seconds 
successful : 142/ 200 | Time taken: 8.97 seconds 
successful : 178/ 200 | Time taken: 8.85 seconds 
successful : 177/ 200 | Time taken: 7.84 seconds 
successful : 198/ 200 | Time taken: 7.45 seconds 
