successful : 15/ 200 | Time taken: 13.83 seconds 
successful : 105/ 200 | Time taken: 9.30 seconds 
successful : 104/ 200 | Time taken: 9.05 seconds 
successful : 103/ 200 | Time taken: 8.99 seconds 
successful : 102/ 200 | Time taken: 9.04 seconds 
successful : 101/ 200 | Time taken: 8.95 seconds 
successful : 100/ 200 | Time taken: 9.07 seconds 
successful : 123/ 200 | Time taken: 9.49 seconds 
successful : 122/ 200 | Time taken: 8.69 seconds 
successful : 121/ 200 | Time taken: 8.92 seconds 
successful : 164/ 200 | Time taken: 9.08 seconds 
successful : 163/ 200 | Time taken: 9.10 seconds 
successful : 187/ 200 | Time taken: 8.36 seconds 
