successful : 7/ 200 | Time taken: 12.28 seconds 
successful : 57/ 200 | Time taken: 7.83 seconds 
successful : 56/ 200 | Time taken: 7.99 seconds 
successful : 55/ 200 | Time taken: 7.51 seconds 
successful : 54/ 200 | Time taken: 8.04 seconds 
successful : 53/ 200 | Time taken: 7.54 seconds 
successful : 52/ 200 | Time taken: 7.88 seconds 
successful : 108/ 200 | Time taken: 7.45 seconds 
successful : 107/ 200 | Time taken: 7.48 seconds 
successful : 106/ 200 | Time taken: 7.46 seconds 
successful : 156/ 200 | Time taken: 7.58 seconds 
successful : 155/ 200 | Time taken: 7.84 seconds 
successful : 181/ 200 | Time taken: 7.48 seconds 
successful : 192/ 200 | Time taken: 7.72 seconds 
