successful : 2/ 200 | Time taken: 71.95 seconds 
successful : 27/ 200 | Time taken: 72.05 seconds 
successful : 26/ 200 | Time taken: 70.60 seconds 
successful : 25/ 200 | Time taken: 69.94 seconds 
successful : 24/ 200 | Time taken: 70.64 seconds 
successful : 23/ 200 | Time taken: 69.85 seconds 
successful : 22/ 200 | Time taken: 71.05 seconds 
successful : 123/ 200 | Time taken: 70.64 seconds 
successful : 122/ 200 | Time taken: 69.46 seconds 
successful : 121/ 200 | Time taken: 69.46 seconds 
successful : 166/ 200 | Time taken: 69.41 seconds 
successful : 165/ 200 | Time taken: 69.14 seconds 
successful : 188/ 200 | Time taken: 68.06 seconds 
