successful : 10/ 200 | Time taken: 68.01 seconds 
successful : 75/ 200 | Time taken: 67.54 seconds 
successful : 74/ 200 | Time taken: 66.00 seconds 
successful : 73/ 200 | Time taken: 66.39 seconds 
successful : 72/ 200 | Time taken: 66.69 seconds 
successful : 71/ 200 | Time taken: 66.03 seconds 
successful : 70/ 200 | Time taken: 66.43 seconds 
successful : 117/ 200 | Time taken: 65.98 seconds 
successful : 116/ 200 | Time taken: 65.92 seconds 
successful : 115/ 200 | Time taken: 66.02 seconds 
successful : 158/ 200 | Time taken: 66.74 seconds 
successful : 157/ 200 | Time taken: 66.81 seconds 
successful : 184/ 200 | Time taken: 66.65 seconds 
successful : 199/ 200 | Time taken: 64.67 seconds 
